"","author","year","title","journal"
"1573","SIMONS M",1996,"PRONOUNS AND DEFINITE DESCRIPTIONS - A CRITIQUE OF WILSON","JOURNAL OF PHILOSOPHY"
"1574","BLANCHETTE PATRICIA A",1996,"FREGE AND HILBERT ON CONSISTENCY","JOURNAL OF PHILOSOPHY"
"1575","AKINS KATHLEEN",1996,"OF SENSORY SYSTEMS AND THE ABOUTNESS OF MENTAL STATES","JOURNAL OF PHILOSOPHY"
"1576","DAVIDSON D",1996,"THE FOLLY OF TRYING TO DEFINE TRUTH","JOURNAL OF PHILOSOPHY"
"1577","RYNASIEWICZ R",1996,"ABSOLUTE VERSUS RELATIONAL SPACE-TIME - AN OUTMODED DEBATE","JOURNAL OF PHILOSOPHY"
"1578","CHURCHLAND PM",1996,"THE REDISCOVERY OF LIGHT","JOURNAL OF PHILOSOPHY"
"1579","BEGBY ENDRE",2011,"CONCEPTS AND ABILITIES IN ANTI-INDIVIDUALISM","JOURNAL OF PHILOSOPHY"
"1580","WHITE M",1996,"DESIRE AND DESIRABILITY - A REJOINDER TO A POSTHUMOUS REPLY BY
DEWEY,JOHN","JOURNAL OF PHILOSOPHY"
"1581","QUINE WV",1996,"PROGRESS ON 2 FRONTS + TRANSLATION OF PHILOSOPHY","JOURNAL OF PHILOSOPHY"
"1582","PARSONS TD",1996,"WHAT IS AN ARGUMENT + PHILOSOPHY, LOGIC AND DISCOURSE","JOURNAL OF PHILOSOPHY"
"1583","DELLA ROCCA MICHAEL",1996,"ESSENTIALISTS AND ESSENTIALISM + SYMBOLIC LOGIC","JOURNAL OF PHILOSOPHY"
"1584","KUHN ST",1996,"AGREEMENT KEEPING AND INDIRECT MORAL THEORY","JOURNAL OF PHILOSOPHY"
"1585","MAUDLIN T",1996,"ON THE UNIFICATION OF PHYSICS","JOURNAL OF PHILOSOPHY"
"1586","LORMAND E",1996,"HOW TO BE A MEANING HOLIST","JOURNAL OF PHILOSOPHY"
"1587","HOEFER CARL",1996,"THE METAPHYSICS OF SPACE-TIME SUBSTANTIVALISM","JOURNAL OF PHILOSOPHY"
"1588","SIMMONS AJ",1996,"EXTERNAL JUSTIFICATIONS AND INSTITUTIONAL ROLES","JOURNAL OF PHILOSOPHY"
"1589","BARCELO ASPEITIA AXEL ARTURO",2011,"COMMENTS AND CRITICISM AN INSUBSTANTIAL EXTERNALISM","JOURNAL OF PHILOSOPHY"
"1590","SHRADER-FRECHETTE K",1995,"PRACTICAL ECOLOGY AND FOUNDATIONS FOR ENVIRONMENTAL ETHICS","JOURNAL OF PHILOSOPHY"
"1591","WRIGHT L",1995,"ARGUMENT AND DELIBERATION: A PLEA FOR UNDERSTANDING","JOURNAL OF PHILOSOPHY"
"1592","RABINOWICZ WLODEK",1995,"TO HAVE ONE'S CAKE AND EAT IT, TOO: SEQUENTIAL CHOICE AND
EXPECTED-UTILITY VIOLATIONS","JOURNAL OF PHILOSOPHY"
"1593","LOWE E J",1995,"THE METAPHYSICS OF ABSTRACT OBJECTS","JOURNAL OF PHILOSOPHY"
"1594","FRENCH S",1995,"HACKING AWAY AT THE IDENTITY OF INDISCERNIBLES: POSSIBLE WORLDS AND
EINSTEIN'S PRINCIPLE OF EQUIVALENCE","JOURNAL OF PHILOSOPHY"
"1595","FISHER JA",1995,"IS THERE A PROBLEM OF INDISCERNIBLE COUNTERPARTS?","JOURNAL OF PHILOSOPHY"
"1596","MILLS C",1995,"GOODNESS AS WEAPON (MOTIVATION, MORAL PHILOSOPHY)","JOURNAL OF PHILOSOPHY"
"1597","FOSS JE",1995,"MATERIALISM, REDUCTION, REPLACEMENT, AND THE PLACE OF CONSCIOUSNESS IN
SCIENCE","JOURNAL OF PHILOSOPHY"
"1598","LANGE MARC",1995,"ARE THERE NATURAL LAWS CONCERNING PARTICULAR BIOLOGICAL SPECIES?","JOURNAL OF PHILOSOPHY"
"1599","VAN GELDER T",1995,"WHAT MIGHT COGNITION BE, IF NOT COMPUTATION","JOURNAL OF PHILOSOPHY"
"1600","KRIEGER MH",1995,"COULD THE PROBABILITY OF DOOM BE ZERO OR ONE","JOURNAL OF PHILOSOPHY"
"1601","ELGIN CZ",1995,"UNNATURAL SCIENCE","JOURNAL OF PHILOSOPHY"
"1602","LANGSAM H",1995,"WHY PAINS ARE MENTAL OBJECTS","JOURNAL OF PHILOSOPHY"
"1603","LEVIN MICHAEL",1995,"TORTUOUS DUALISM","JOURNAL OF PHILOSOPHY"
"1604","CALHOUN CHESHIRE",1995,"STANDING FOR SOMETHING","JOURNAL OF PHILOSOPHY"
"1605","GLANNON W",1995,"RESPONSIBILITY AND THE PRINCIPLE OF POSSIBLE ACTION","JOURNAL OF PHILOSOPHY"
"1606","MILO R",1995,"CONTRACTARIAN CONSTRUCTIVISM","JOURNAL OF PHILOSOPHY"
"1607","BROMBERGER SYLVAIN",2011,"WHAT ARE WORDS? COMMENTS ON KAPLAN (1990), ON HAWTHORNE AND LEPORE, AND
ON THE ISSUE","JOURNAL OF PHILOSOPHY"
"1608","FORBES GRAEME",1995,"REALISM AND SKEPTICISM - BRAINS IN A VAT REVISITED","JOURNAL OF PHILOSOPHY"
"1609","CHRISTOFIDOU ANDREA",1995,"1ST-PERSON - THE DEMAND FOR IDENTIFICATION-FREE SELF-REFERENCE","JOURNAL OF PHILOSOPHY"
"1610","HABERMAS J",1995,"RECONCILIATION THROUGH THE PUBLIC USE OF REASON - REMARKS ON RAWLS,JOHN
POLITICAL LIBERALISM","JOURNAL OF PHILOSOPHY"
"1611","RAWLS J",1995,"RECONCILIATION THROUGH THE PUBLIC USE OF REASON - REMARKS ON RAWLS,JOHN
POLITICAL LIBERALISM - REPLY","JOURNAL OF PHILOSOPHY"
"1612","ADAMS ROBERT MERRIHEW",1995,"MORAL FAITH","JOURNAL OF PHILOSOPHY"
"1613","HAUSMAN DM",1995,"RATIONAL CHOICE AND SOCIAL-THEORY - A COMMENT","JOURNAL OF PHILOSOPHY"
"1614","LUDLOW PETER",1995,"LOGICAL FORM AND THE HIDDEN-INDEXICAL THEORY - A REPLY TO SCHIFFER","JOURNAL OF PHILOSOPHY"
"1615","FLANAGAN O",1995,"DECONSTRUCTING DREAMS - THE SPANDRELS OF SLEEP","JOURNAL OF PHILOSOPHY"
"1616","NEMIROW LE",1995,"UNDERSTANDING RULES","JOURNAL OF PHILOSOPHY"
"1617","HENDERSON DAVID K",1994,"EPISTEMIC COMPETENCE AND CONTEXTUALIST EPISTEMOLOGY - WHY CONTEXTUALISM
IS NOT JUST THE POOR PERSONS COHERENTISM","JOURNAL OF PHILOSOPHY"
"1618","STREUMER BART",2013,"CAN WE BELIEVE THE ERROR THEORY?","JOURNAL OF PHILOSOPHY"
"1619","KAPLAN DAVID",2011,"WORDS ON WORDS","JOURNAL OF PHILOSOPHY"
"1620","BENSON PAUL",1994,"FREE AGENCY AND SELF-WORTH","JOURNAL OF PHILOSOPHY"
"1621","HOY RC",1994,"PARMENIDES COMPLETE REJECTION OF TIME","JOURNAL OF PHILOSOPHY"
"1622","LATHAM N",1994,"CAUSALLY IRRELEVANT REASONS AND ACTION SOLELY FROM THE MOTIVE OF DUTY","JOURNAL OF PHILOSOPHY"
"1623","WILSON MARK",1994,"CAN WE TRUST LOGICAL FORM","JOURNAL OF PHILOSOPHY"
"1624","DEVITT M",1994,"THE METHODOLOGY OF NATURALISTIC SEMANTICS","JOURNAL OF PHILOSOPHY"
"1625","PUTNAM HILARY",1994,"SENSE, NONSENSE AND THE SENSES, AN INQUIRY INTO THE POWERS OF THE HUMAN
MIND + 1994 DEWEY LECTURES AT COLUMBIA-UNIVERSITY, LECTURE 1 - THE
ANTINOMY OF REASON","JOURNAL OF PHILOSOPHY"
"1626","PUTNAM HILARY",1994,"SENSE, NONSENSE AND THE SENSES - AN INQUIRY INTO THE POWERS OF THE HUMAN
MIND + 1994 DEWEY LECTURES AT COLUMBIA-UNIVERSITY, LECTURE 2 - THE
IMPORTANCE OF BEING AUSTIN, THE NEED FOR A SECOND-NAIVETE","JOURNAL OF PHILOSOPHY"
"1627","PUTNAM HILARY",1994,"SENSE, NONSENSE AND THE SENSES, AN INQUIRY INTO THE POWERS OF THE HUMAN
MIND + 1994 DEWEY LECTURES AT COLUMBIA-UNIVERSITY, LECTURE 3 - THE FACE
OF COGNITION","JOURNAL OF PHILOSOPHY"
"1628","RADNER D",1994,"HETEROPHENOMENOLOGY, LEARNING ABOUT THE BIRDS AND THE BEES","JOURNAL OF PHILOSOPHY"
"1629","CHALMERS DAVID J",2011,"REVISABILITY AND CONCEPTUAL CHANGE IN ``TWO DOGMAS OF EMPIRICISM{''}","JOURNAL OF PHILOSOPHY"
"1630","HARDIMON MO",1994,"ROLE OBLIGATIONS","JOURNAL OF PHILOSOPHY"
"1631","ACKERMAN BRUCE",1994,"POLITICAL LIBERALISMS","JOURNAL OF PHILOSOPHY"
"1632","SKYRMS B",1994,"SEX AND JUSTICE","JOURNAL OF PHILOSOPHY"
"1633","STURGEON SCOTT",1994,"THE EPISTEMIC VIEW OF SUBJECTIVITY","JOURNAL OF PHILOSOPHY"
"1634","HYMAN JOHN",1994,"VISION AND POWER","JOURNAL OF PHILOSOPHY"
"1635","GARCIA-CARPINTERO M",1994,"OSTENSIVE SIGNS - AGAINST THE IDENTITY THEORY OF QUOTATION","JOURNAL OF PHILOSOPHY"
"1636","ADLER JONATHAN E",1994,"TESTIMONY, TRUST, KNOWING","JOURNAL OF PHILOSOPHY"
"1637","MERRICKS TRENTON",1994,"ENDURANCE AND INDISCERNIBILITY","JOURNAL OF PHILOSOPHY"
"1638","BEALER GEORGE",1994,"MENTAL PROPERTIES","JOURNAL OF PHILOSOPHY"
"1639","ISMAEL JENANN T",2011,"A MODEST PROPOSAL ABOUT CHANCE","JOURNAL OF PHILOSOPHY"
"1640","DUDMAN VH",1994,"ON CONDITIONALS","JOURNAL OF PHILOSOPHY"
"1641","BURKE MICHAEL B",1994,"DION AND THEON - AN ESSENTIALIST SOLUTION TO AN ANCIENT PUZZLE","JOURNAL OF PHILOSOPHY"
"1642","GREENSPAN PS",1994,"GUILT AND VIRTUE","JOURNAL OF PHILOSOPHY"
"1643","NIKOLINAKOS D",1994,"GENERAL-ANESTHESIA, CONSCIOUSNESS, AND THE SKEPTICAL CHALLENGE","JOURNAL OF PHILOSOPHY"
"1644","BROWER BRUCE W",1994,"THE LIMITS OF PUBLIC REASON","JOURNAL OF PHILOSOPHY"
"1645","GOLDMAN ALVIN I",1994,"ARGUMENTATION AND SOCIAL EPISTEMOLOGY","JOURNAL OF PHILOSOPHY"
"1646","NELSON WILLIAM N",1994,"MUTUAL BENEVOLENCE AND HAPPINESS","JOURNAL OF PHILOSOPHY"
"1647","SOSA ERNEST",1993,"PUTNAMS PRAGMATIC REALISM","JOURNAL OF PHILOSOPHY"
"1648","GILBERT M",1993,"IS AN AGREEMENT AN EXCHANGE OF PROMISES","JOURNAL OF PHILOSOPHY"
"1649","BURGE TYLER",2011,"SELF AND SELF-UNDERSTANDING LECTURE I: SOME ORIGINS OF SELF","JOURNAL OF PHILOSOPHY"
"1650","TAPPENDEN JAMIE",1993,"THE LIAR AND SORITES PARADOXES - TOWARD A UNIFIED TREATMENT","JOURNAL OF PHILOSOPHY"
"1651","MORAN R",1993,"IMPERSONALITY, CHARACTER, AND MORAL EXPRESSIVISM","JOURNAL OF PHILOSOPHY"
"1652","KITCHER P",1993,"THE EVOLUTION OF HUMAN ALTRUISM","JOURNAL OF PHILOSOPHY"
"1653","LAMB JW",1993,"EVALUATIVE COMPATIBILISM AND THE PRINCIPLE OF ALTERNATE POSSIBILITIES","JOURNAL OF PHILOSOPHY"
"1654","RORTY R",1993,"PUTNAM AND THE RELATIVIST MENACE","JOURNAL OF PHILOSOPHY"
"1655","STONE J",1993,"COGITO-ERGO-SUM","JOURNAL OF PHILOSOPHY"
"1656","MARTLAND TR",1993,"AN INQUIRY INTO RELIGIONS EMPTY WORLD","JOURNAL OF PHILOSOPHY"
"1657","LEMOS NM",1993,"HIGHER GOODS AND THE MYTH OF TITHONUS","JOURNAL OF PHILOSOPHY"
"1658","KINGWELL M",1993,"IS IT RATIONAL TO BE POLITE","JOURNAL OF PHILOSOPHY"
"1659","OHLSSON R",1993,"WHO CAN ACCEPT MORAL DILEMMAS","JOURNAL OF PHILOSOPHY"
"1660","BURGE TYLER",2011,"SELF AND SELF-UNDERSTANDING LECTURE II: SELF AND CONSTITUTIVE NORMS","JOURNAL OF PHILOSOPHY"
"1661","BERGSTROM LARS",1993,"QUINE, UNDERDETERMINATION, AND SKEPTICISM","JOURNAL OF PHILOSOPHY"
"1662","WILSON C",1993,"ON SOME ALLEGED LIMITATIONS TO MORAL ENDEAVOR","JOURNAL OF PHILOSOPHY"
"1663","ANDERSON DAVID LEECH",1993,"WHAT IS THE MODEL-THEORETIC ARGUMENT","JOURNAL OF PHILOSOPHY"
"1664","SKYRMS B",1993,"LOGICAL ATOMS AND COMBINATORIAL POSSIBILITY","JOURNAL OF PHILOSOPHY"
"1665","MELLOR DH",1993,"HOW TO BELIEVE A CONDITIONAL","JOURNAL OF PHILOSOPHY"
"1666","MACINTOSH D",1993,"PERSONS AND THE SATISFACTION OF PREFERENCES - PROBLEMS IN THE RATIONAL
KINEMATICS OF VALUES","JOURNAL OF PHILOSOPHY"
"1667","QUINE WV",1993,"IN PRAISE OF OBSERVATION SENTENCES","JOURNAL OF PHILOSOPHY"
"1668","LOUI RP",1993,"HOW A FORMAL THEORY OF RATIONALITY CAN BE NORMATIVE","JOURNAL OF PHILOSOPHY"
"1669","BURGE TYLER",2011,"SELF AND SELF-UNDERSTANDING LECTURE III: SELF-UNDERSTANDING","JOURNAL OF PHILOSOPHY"
"1670","ROVANE C",1993,"SELF-REFERENCE - THE RADICALIZATION OF LOCKE","JOURNAL OF PHILOSOPHY"
"1671","GEORGE A",1993,"HOW NOT TO REFUTE REALISM","JOURNAL OF PHILOSOPHY"
"1672","BEALER GEORGE",1993,"UNIVERSALS","JOURNAL OF PHILOSOPHY"
"1673","SWANTON C",1993,"SATISFICING AND VIRTUE","JOURNAL OF PHILOSOPHY"
"1674","LEE CHUNGHYOUNG",2013,"THE TWO-ENVELOPE PARADOX: ASYMMETRICAL CASES","MIND"
"1675","MEYER ULRICH",2013,"COUNTERPART THEORY AND THE ACTUALITY OPERATOR","MIND"
"1676","RUSSELL JEFFREY SANFORD",2013,"ACTUALITY FOR COUNTERPART THEORISTS","MIND"
"1677","WOOLF RAPHAEL",2013,"PLATO AND THE NORMS OF THOUGHT","MIND"
"1678","GINSBORG HANNAH",2011,"PRIMITIVE NORMATIVITY AND SKEPTICISM ABOUT RULES","JOURNAL OF PHILOSOPHY"
"1679","BARNES ELIZABETH",2012,"EMERGENCE AND FUNDAMENTALITY","MIND"
"1680","JAGO MARK",2012,"THE TRUTHMAKER NON-MAXIMALIST'S DILEMMA","MIND"
"1681","LOWE E J",2012,"WHAT IS THE SOURCE OF OUR KNOWLEDGE OF MODAL TRUTHS?","MIND"
"1682","BECK JACOB",2012,"THE GENERALITY CONSTRAINT AND THE STRUCTURE OF THOUGHT","MIND"
"1683","CHIGNELL ANDREW",2012,"KANT, REAL POSSIBILITY, AND THE THREAT OF SPINOZA","MIND"
"1684","SUTTON C S",2012,"COLOCATED OBJECTS, TALLY-HO: A SOLUTION TO THE GROUNDING PROBLEM","MIND"
"1685","BAKER ALAN",2012,"SCIENCE-DRIVEN MATHEMATICAL EXPLANATION","MIND"
"1686","LEVY ARNON",2011,"GAME THEORY, INDIRECT MODELING, AND THE ORIGIN OF MORALITY","JOURNAL OF PHILOSOPHY"
"1687","MOON ANDREW",2012,"KNOWING WITHOUT EVIDENCE","MIND"
"1688","MORRISON JOHN",2012,"COLOUR IN A PHYSICAL WORLD: A PROBLEM DUE TO VISUAL NOISE","MIND"
"1689","MYERS ROBERT H",2012,"DESIRES AND NORMATIVE TRUTHS: A HOLIST'S RESPONSE TO THE SCEPTICS","MIND"
"1690","SKOW BRADFORD",2012,"A SOLUTION TO THE PROBLEM OF INDETERMINATE DESERT","MIND"
"1691","TORZA ALESSANDRO",2012,"`IDENTITY' WITHOUT IDENTITY","MIND"
"1692","WIGGINS DAVID",2012,"PRACTICAL KNOWLEDGE: KNOWING HOW TO AND KNOWING THAT","MIND"
"1693","DORR CIAN",2011,"DE RE A PRIORI KNOWLEDGE","MIND"
"1694","FINE KIT",2011,"ARISTOTLE'S MEGARIAN MANOEUVRES","MIND"
"1695","DE VIGNEMONT FREDERIQUE",2011,"A MOSQUITO BITE AGAINST THE ENACTIVE APPROACH TO BODILY EXPERIENCES","JOURNAL OF PHILOSOPHY"
"1696","MOSS SARAH",2011,"SCORING RULES AND EPISTEMIC COMPROMISE","MIND"
"1697","SARTORIO CAROLINA",2011,"ACTUALITY AND RESPONSIBILITY","MIND"
"1698","THOMAS ALAN",2011,"COHEN'S CRITIQUE OF RAWLS: A DOUBLE COUNTING OBJECTION","MIND"
"1699","CHALMERS DAVID J",2011,"FREGE'S PUZZLE AND THE OBJECTS OF CREDENCE","MIND"
"1700","GANERI JONARDON",2011,"EMERGENTISMS, ANCIENT AND MODERN","MIND"
"1701","GRIMM STEPHEN R",2011,"ON INTELLECTUALISM IN EPISTEMOLOGY","MIND"
"1702","SIDELLE ALAN",2011,"PARFIT ON `THE NORMAL/A RELIABLE/ANY CAUSE' OF RELATION R","MIND"
"1703","SOUTHWOOD NICHOLAS",2011,"THE MORAL/CONVENTIONAL DISTINCTION","MIND"
"1704","ALEXANDER J MCKENZIE",2011,"EXPECTATIONS AND CHOICEWORTHINESS","MIND"
"1705","MCGRATH SARAH",2011,"SKEPTICISM ABOUT MORAL EXPERTISE AS A PUZZLE FOR MORAL REALISM","JOURNAL OF PHILOSOPHY"
"1706","COBREROS PABLO",2011,"VARZI ON SUPERVALUATIONISM AND LOGICAL CONSEQUENCE","MIND"
"1707","EBBS GARY",2011,"CARNAP AND QUINE ON TRUTH BY CONVENTION","MIND"
"1708","KALDERON MARK ELI",2011,"THE MULTIPLY QUALITATIVE","MIND"
"1709","MALMGREN ANNA-SARA",2011,"RATIONALISM AND THE CONTENT OF INTUITIVE JUDGEMENTS","MIND"
"1710","SILINS NICHOLAS",2011,"SEEING THROUGH THE `VEIL OF PERCEPTION'","MIND"
"1711","VRANAS PETER BM",2011,"NEW FOUNDATIONS FOR IMPERATIVE LOGIC: PURE IMPERATIVE INFERENCE","MIND"
"1712","ZIMMERMAN MICHAEL J",2011,"PARTIALITY AND INTRINSIC VALUE","MIND"
"1713","BATCHELOR RODERICK",2011,"TOPIC-NEUTRALITY","MIND"
"1714","HANKS PETER W",2011,"STRUCTURED PROPOSITIONS AS TYPES","MIND"
"1715","SALMON NATHAN",2013,"A NOTE ON KRIPKE'S PARADOX ABOUT TIME AND THOUGHT","JOURNAL OF PHILOSOPHY"
"1716","HOPKINS ROBERT",2011,"HOW TO BE A PESSIMIST ABOUT AESTHETIC TESTIMONY","JOURNAL OF PHILOSOPHY"
"1717","OKASHA SAMIR",2011,"THEORY CHOICE AND SOCIAL CHOICE: KUHN VERSUS ARROW","MIND"
"1718","PORTMORE DOUGLAS W",2011,"THE TELEOLOGICAL CONCEPTION OF PRACTICAL REASONS","MIND"
"1719","WOOLLARD FIONA",2011,"MOST WAYS I COULD MOVE: BENNETT'S ACT/OMISSION DISTINCTION AND THE
BEHAVIOUR SPACE","MIND"
"1720","BROWER JEFFREY E",2010,"ARISTOTELIAN ENDURANTISM: A NEW SOLUTION TO THE PROBLEM OF TEMPORARY
INTRINSICS","MIND"
"1721","DIAZ-LEON E",2010,"CAN PHENOMENAL CONCEPTS EXPLAIN THE EPISTEMIC GAP?","MIND"
"1722","ENOCH DAVID",2010,"NOT JUST A TRUTHOMETER: TAKING ONESELF SERIOUSLY (BUT NOT TOO SERIOUSLY)
IN CASES OF PEER DISAGREEMENT","MIND"
"1723","WEBER ZACH",2010,"A PARACONSISTENT MODEL OF VAGUENESS","MIND"
"1724","ZOLLMAN KEVIN J S",2011,"SEPARATING DIRECTIVES AND ASSERTIONS USING SIMPLE SIGNALING GAMES","JOURNAL OF PHILOSOPHY"
"1725","CLARK ANDY",2010,"MUCH ADO ABOUT COGNITION","MIND"
"1726","EGGLESTON BEN",2010,"PRACTICAL EQUILIBRIUM: A WAY OF DECIDING WHAT TO THINK ABOUT MORALITY","MIND"
"1727","TEXTOR MARK",2010,"FREGE ON JUDGING AS ACKNOWLEDGING THE TRUTH","MIND"
"1728","WILLIAMSON TIMOTHY",2010,"NECESSITISM, CONTINGENTISM, AND PLURAL QUANTIFICATION","MIND"
"1729","STEGLICH-PETERSEN ASBJORN",2010,"THE TRUTH NORM AND GUIDANCE: A REPLY TO GLUER AND WIKFORSS","MIND"
"1730","HOFFMANN-KOLSS VERA",2010,"DENBY ON THE DISTINCTION BETWEEN INTRINSIC AND EXTRINSIC PROPERTIES","MIND"
"1731","DENBY DAVID A",2010,"INTRINSIC AND EXTRINSIC PROPERTIES: A REPLY TO HOFFMANN-KOLSS","MIND"
"1732","COLYVAN MARK",2010,"THERE IS NO EASY ROAD TO NOMINALISM","MIND"
"1733","VAN LEEUWEN NEIL",2011,"IMAGINATION IS WHERE THE ACTION IS","JOURNAL OF PHILOSOPHY"
"1734","LANGE MARC",2010,"WHAT ARE MATHEMATICAL COINCIDENCES (AND WHY DOES IT MATTER)?","MIND"
"1735","SCHAFFER JONATHAN",2010,"THE INTERNAL RELATEDNESS OF ALL THINGS","MIND"
"1736","SCHLENKER PHILIPPE",2010,"PRESUPPOSITIONS AND LOCAL CONTEXTS","MIND"
"1737","SORENSEN ROY",2010,"BORDERLINE HERMAPHRODITES: HIGHER-ORDER VAGUENESS BY EXAMPLE","MIND"
"1738","CIESLINSKI CEZARY",2010,"TRUTH, CONSERVATIVENESS, AND PROVABILITY","MIND"
"1739","KETLAND JEFFREY",2010,"TRUTH, CONSERVATIVENESS, AND PROVABILITY: REPLY TO CIESLINSKI","MIND"
"1740","TENNANT NEIL",2010,"DEFLATIONISM AND THE GODEL PHENOMENA: REPLY TO CIESLINSKI","MIND"
"1741","DEROSE KEITH",2010,"THE CONDITIONALS OF DELIBERATION","MIND"
"1742","MILLIKAN RUTH GARRETT",2010,"ON KNOWING THE MEANING; WITH A CODA ON SWAMPMAN","MIND"
"1743","NELSON MARK T",2010,"WE HAVE NO POSITIVE EPISTEMIC DUTIES","MIND"
"1744","WILLIAMS J ROBERT G",2010,"FUNDAMENTAL AND DERIVATIVE TRUTHS","MIND"
"1745","BALL DEREK",2009,"THERE ARE NO PHENOMENAL CONCEPTS","MIND"
"1746","CLARK ANDY",2009,"SPREADING THE JOY? WHY THE MACHINERY OF CONSCIOUSNESS IS (PROBABLY)
STILL IN THE HEAD","MIND"
"1747","MOLE CHRISTOPHER",2009,"ILLUSIONS, DEMONSTRATIVES, AND THE ZOMBIE ACTION HYPOTHESIS","MIND"
"1748","ROESSLER JOHANNES",2009,"PERCEPTUAL EXPERIENCE AND PERCEPTUAL KNOWLEDGE","MIND"
"1749","BAYS TIMOTHY",2009,"BETH'S THEOREM AND DEFLATIONISM","MIND"
"1750","KETLAND JEFFREY",2009,"BETH'S THEOREM AND DEFLATIONISM - REPLY TO BAYS","MIND"
"1751","STRATTON-LAKE PHILIP",2009,"ROGER CRISP ON GOODNESS AND REASONS","MIND"
"1752","COLEMAN SAM",2011,"THERE IS NO ARGUMENT THAT THE MIND EXTENDS","JOURNAL OF PHILOSOPHY"
"1753","CRISP ROGER",2009,"GOODNESS AND REASONS: A RESPONSE TO STRATTON-LAKE","MIND"
"1754","HORSTEN LEON",2009,"LEVITY","MIND"
"1755","MILLICAN PETER",2009,"HUME, CAUSAL REALISM, AND CAUSAL SCIENCE","MIND"
"1756","PAGIN PETER",2009,"COMPOSITIONALITY, UNDERSTANDING, AND PROOFS","MIND"
"1757","PEACOCKE CHRISTOPHER",2009,"OBJECTIVITY","MIND"
"1758","BLOME-TILLMANN MICHAEL",2009,"KNOWLEDGE AND PRESUPPOSITIONS","MIND"
"1759","CLARKE RANDOLPH",2009,"DISPOSITIONS, ABILITIES TO ACT, AND FREE WILL: THE NEW DISPOSITIONALISM","MIND"
"1760","BYKVIST KRISTER",2009,"NO GOOD FIT: WHY THE FITTING ATTITUDE ANALYSIS OF VALUE FAILS","MIND"
"1761","SMITHIES DECLAN",2011,"WHAT IS THE ROLE OF CONSCIOUSNESS IN DEMONSTRATIVE THOUGHT?","JOURNAL OF PHILOSOPHY"
"1762","HAWLEY KATHERINE",2009,"IDENTITY AND INDISCERNIBILITY","MIND"
"1763","AHMED ARIF",2009,"RIGIDITY AND ESSENTIALITY: REPLY TO GOMEZ-TORRENTE","MIND"
"1764","GOMEZ-TORRENTE MARIO",2009,"ESSENTIALITY AND THEORETICAL IDENTIFICATIONS: REPLY TO AHMED","MIND"
"1765","BAKER JUDITH",2008,"RATIONALITY WITHOUT REASONS","MIND"
"1766","BLOCK ELIZA",2008,"INDICATIVE CONDITIONALS IN CONTEXT","MIND"
"1767","CHOI SUNGHO",2008,"DISPOSITIONAL PROPERTIES AND COUNTERFACTUAL CONDITIONALS","MIND"
"1768","FARA MICHAEL",2008,"MASKED ABILITIES AND COMPATIBILISM","MIND"
"1769","GLOCK HANS-JOHANN",2008,"ANALYTIC PHILOSOPHY AND HISTORY: A MISMATCH?","MIND"
"1770","HUEMER MICHAEL",2011,"DOES PROBABILITY THEORY REFUTE COHERENTISM?","JOURNAL OF PHILOSOPHY"
"1771","HUEMER MICHAEL",2008,"IN DEFENCE OF REPUGNANCE","MIND"
"1772","KALDERON MARK ELI",2008,"METAMERISM, CONSTANCY, AND KNOWING WHICH","MIND"
"1773","RIETVELD ERIK",2008,"SITUATED NORMATIVITY: THE NORMATIVE ASPECT OF EMBODIED COGNITION IN
UNREFLECTIVE ACTION","MIND"
"1774","WU WAYNE",2008,"VISUAL ATTENTION, CONCEPTUAL CONTENT, AND DOING IT RIGHT","MIND"
"1775","NADLER STEVEN",2008,"SPINOZA AND CONSCIOUSNESS","MIND"
"1776","SREENIVASAN GOPAL",2008,"CHARACTER AND CONSISTENCY: STILL MORE ERRORS","MIND"
"1777","FINE TERRENCE L",2008,"EVALUATING THE PASADENA, ALTADENA, AND ST PETERSBURG GAMBLES","MIND"
"1778","EASWARAN KENNY",2008,"STRONG AND WEAK EXPECTATIONS","MIND"
"1779","CRISP ROGER",2008,"GOODNESS AND REASONS: ACCENTUATING THE NEGATIVE","MIND"
"1780","RAYO AGUSTIN",2008,"VAGUE REPRESENTATION","MIND"
"1781","TASCHEK WILLIAM W",2008,"TRUTH, ASSERTION, AND THE HORIZONTAL: FREGE ON `THE ESSENCE OF LOGIC'","MIND"
"1782","GREIMANN DIRK",2008,"DOES FREGE USE A TRUTH-PREDICATE IN HIS `JUSTIFICATION' OF THE LAWS OF
LOGIC? A COMMENT ON WEINER","MIND"
"1783","WEINER JOAN",2008,"HOW TARSKIAN IS FREGE?","MIND"
"1784","PANJVANI CYRUS",2008,"RULE-FOLLOWING, EXPLANATION-TRANSCENDENCE, AND PRIVATE LANGUAGE","MIND"
"1785","ANGERE STAFFAN",2008,"COHERENCE AS A HEURISTIC","MIND"
"1786","HOLTON RICHARD",2008,"PARTIAL BELIEF, PARTIAL INTENTION","MIND"
"1787","FINE KIT",2010,"TOWARDS A THEORY OF PART","JOURNAL OF PHILOSOPHY"
"1788","NELSON WILLIAM N",2008,"KANT'S FORMULA OF HUMANITY","MIND"
"1789","PINCOCK CHRISTOPHER",2008,"RUSSELL'S LAST (AND BEST) MULTIPLE-RELATION THEORY OF JUDGEMENT","MIND"
"1790","GIBBARD ALLAN",2008,"HORWICH ON MEANING","MIND"
